caseid,acronym,country,region,region_n,agent,inarea,mndt,hcons,inttype,inttype_n2,intcat,intcat_n,yearbeg,yearbeg_n,yearend,durays,duram,duram_n,person,person_n,fatal,status,status_n2,status_n,ch7,ch7_n,srcadis,srcadis_n,srctpi,srctpi_n,srcsipr_n,srcoth,bef1992,bef1991,bef1992a
75,ONUB,Burundi,SSA,SSA,UN,.,"UNSC Res. 1545 (May 21, 2004), Ceasefire agreement (October 7, 2002)",1,KEEP,KEEP,UNUN,UNUN,2004,2004,2006 December,2.5,30,30,5665,5665,24,UN-7,3,UN-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
76,MINUSTAH,Haiti,LAC,LAC,UN,.,"UNSC Res. 1542 (April 30, 2004)",1,KEEP,KEEP,UNUN,UNUN,2004,2004,2017 October,4.3,51,51,9483,9483,175,UN-7,3,UN-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
77,UNMIS,Sudan (South),SSA,SSA,UN,.,"UNSC Res. 1590 (March 24, 2005), Comprehensive Peace Agreement",1,KEEP,KEEP,UNUN,UNUN,2005,2005,2011 July,3.5,42,42,10901,10901,40,UN-7,3,UN-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
78,UNOTIL,East Timor,SEA,SEA,UN,.,"UNSC Res. 1599 (April 8, 2005)",1,OTHER,OTHER,UNUN,UNUN,2005,2005,2006 August,1.3,15,15,230,230,0,UN-6,2,UN-6,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
79,UNMIT,East Timor,SEA,SEA,UN,.,"UNSC Res. 1704 (August 25, 2006)",1,OTHER,OTHER,UNUN,UNUN,2006,2006,2012 December,.,.,,1849,1849,4,UN-6,2,UN-6,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
80,UNIOSIL,Sierra Leone,SSA,SSA,UN,.,"UNSC Res. 1620 (August 31, 2005)",1,OTHER,OTHER,UNUN,UNUN,2006,2006,2008 September,2.7,32,32,111,111,4,UN-6,2,UN-6,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
81,BINUB,Burundi,SSA,SSA,UN,.,"UNSC Res. 1719 (October 25, 2006)",1,OTHER,OTHER,UNUN,UNUN,2007,2007,2010 December,.,.,,142,142,0,UN-6,2,UN-6,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
82,UNMIN,Nepal,CSA,CSA,UN,.,"UNSC Res. 1740 (January 23, 2007)",1,OTHER,OTHER,UNUN,UNUN,2007,2007,2011 January,.,.,,374,374,6,UN-6,2,UN-6,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
83,MINURCAT,Central African Republic and Chad,SSA,SSA,EU,0,"UNSC Res. 1778 (September 25, 2007)",1,KEEP,KEEP,UNRO,UNRO,2007,2007,2010 December,1,12,12,416,416,0,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
84,UNIPSIL,Sierra Leone,SSA,SSA,UN,.,"UNSC Res. 1829 (August 4, 2008)",1,OTHER,OTHER,UNUN,UNUN,2008,2008,2010 December,.,.,,70,70,.,UN-6,2,UN-6,0,0,0,0,0,0,1,,after 1992,From 1992 onwards,1
85,MONUSCO,Congo-Kinshasa Zaire DRC,SSA,SSA,UN,.,"UNSC Res. 1925 (May 28, 2010)",1,KEEP,KEEP,UNUN,UNUN,2010,2010,ongoing,.,.,,22016,22016,59,UN-7,3,UN-7,1,1,0,0,1,1,1,,after 1992,From 1992 onwards,1
86,BNUB,Burundi,SSA,SSA,UN,.,"UNSC Res. 1959 (December 16, 2010)",1,OTHER,OTHER,UNUN,UNUN,2011,2011,2014 December,.,.,,1,1,0,UN-6,2,UN-6,0,0,0,0,0,0,0,,after 1992,From 1992 onwards,1
87,UNMISS,Sudan (South),SSA,SSA,UN,.,"UNSC Res. 1996 (July 8, 2011)",1,KEEP,KEEP,UNUN,UNUN,2011,2011,ongoing,.,.,,7900,7900,17,UN-7,3,UN-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
88,UNISFA,South Sudan Abyei,SSA,SSA,UN,.,"UNSC Res. 1990 (June 27, 2011)",1,KEEP,KEEP,UNUN,UNUN,2011,2011,ongoing,.,.,,4250,4250,12,UN-7,3,UN-7,1,1,0,0,0,0,1,,after 1992,From 1992 onwards,1
89,UNSMIS,Syria,MENA,MENA,UN,.,"UNSC Res. 2043 (April 21, 2012)",1,OBSR,OBSR,UNUN,UNUN,2012,2012,2012 August,.,.,,300,300,1,UN-6,2,UN-6,0,0,0,0,1,1,1,,after 1992,From 1992 onwards,1
90,MINUSMA,Mali,SSA,SSA,UN,.,"UNSC Res. 2100 (April 25, 2013)",1,KEEP,KEEP,UNUN,UNUN,2013,2013,ongoing,0.4,5,5,12640,12640,.,UN-7,3,UN-7,1,1,0,0,1,1,0,(Karlsrud 2015: 40),after 1992,From 1992 onwards,1
91,OMIC I,Comoros,SSA,SSA,OAU,1,"OAU Res. (November 7, 1997)",1,OBSR,OBSR,RORO,RORO,1997,1997,1999 May,1.5,18,18,20,20,0,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
92,Bamako Ceasefire Commission,Algeria Marocco,MENA,MENA,OAU,1,"OAU CM Res. 1 (November 18, 1963)",,OBSR,OBSR,RORO,RORO,1963,1963,1964 April,0.5,6,6,.,,.,NUN,1,NUN,0,0,1,1,0,0,0,,before 1992,Up until 1991,0
93,Chad I,Chad,SSA,SSA,OAU,1,"Kano I Peace Agreement (March 16, 1979)",1,KEEP,KEEP,ROIS,ROIS,1979,1979,1979 June,0.3,3,3,.,,.,NUN,1,NUN,0,0,1,1,0,0,0,http://uca.edu/politicalscience/dadm-project/sub-saharan-africa-region/72-chad-1960-present/,before 1992,Up until 1991,0
94,Chad II,Chad,SSA,SSA,OAU,1,"OAU CM Res. 769 (February 6, 1980); AHG Res. 99 (July 1, 1980)",1,KEEP,KEEP,RORO,RORO,1980,1980,1980 March,0.2,2,2,600,600,.,UN-E,5,UN-E,0,0,1,1,0,0,0,,before 1992,Up until 1991,0
95,Chad III,Chad,SSA,SSA,OAU,1,"OAU AHG Res. 102 (XVIII) Rev. 1 (June 24, 1981)",,KEEP,KEEP,RORO,RORO,1981,1981,1982 June,0.6,7,7,3500,3500,.,UN-E,5,UN-E,0,0,1,1,0,0,0,,before 1992,Up until 1991,0
96,OAU MOT,Rwanda,SSA,SSA,OAU,1,.,1,OBSR,OBSR,RORO,RORO,1991,1991,1991 September,0.4,5,5,15,15,.,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
97,NMOG I,Rwanda,SSA,SSA,OAU,1,"Ceasefire Agreement (August 1, 1992)",1,OBSR,OBSR,RORO,RORO,1991,1991,1993 July,1.8,22,22,1.25,1.25,0,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
98,NMOG II,Rwanda,SSA,SSA,OAU,1,.,1,OBSR,OBSR,RORO,RORO,1992,1992,1993 October,1.3,15,15,130,130,0,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,From 1992 onwards,0
99,OMIB,Burundi,SSA,SSA,OAU,1,"OAU CM Res. 1487 (February 4, 1994) ; bei SIPRI: OAU, 7 Dec. 1993",1,OBSR,OBSR,RORO,RORO,1994,1994,1996 July,2.4,29,29,67,67,1,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
100,OMIC II,Comoros,SSA,SSA,OAU,1,"OAU Decision (November 27, 2001)",1,OBSR,OBSR,RORO,RORO,2001,2001,2002 February,0.1,2,2,14,14,0,NUN,1,NUN,0,0,0,0,1,1,1,,after 1992,From 1992 onwards,1
101,OAU Joint Monitoring Commission DR Congo,Congo-Kinshasa Zaire DRC,SSA,SSA,OAU,1,.,1,OBSR,OBSR,RORO,RORO,1999,1999,2000 November,1.2,14,14,33,33,0,UN-E,5,UN-E,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
102,MICIVIH,Haiti,LAC,LAC,UN,.,"UN GA Res. A/47/L.56 (Aprial 23, 1993)",1,OBSR,OBSR,UNUN,UNUN,1993,1993,2000 March,6.9,83,83,200,200,0,UN-6,2,UN-6,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
103,OAS Committee of Military Experts,Nicaragua Costa Rica,LAC,LAC,OAS,1,.,1,OBSR,OBSR,RORO,RORO,1955,1955,1955 February,0.1,1,1,27,27,.,NUN,1,NUN,0,0,1,1,0,0,0,(Koops et al 2015)(Shaw 2004: 76),before 1992,Up until 1991,0
104,OAS IAPF-OAS Mil,Dominican Republic,LAC,LAC,OAS,1,.,0,KEEP,KEEP,ROIS,ROIS,1965,1965,1966 September,1.3,16,16,13000,13000,.,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
105,Obsrvs I-OAS Mil,Honduras El Salvador,LAC,LAC,OAS,1,.,1,OBSR,OBSR,RORO,RORO,1969,1969,1971 July,2,24,24,.,,.,NUN,1,NUN,0,0,1,1,0,0,0,,before 1992,Up until 1991,0
106,Obsrvs II,Honduras El Salvador,LAC,LAC,OAS,1,.,1,OBSR,OBSR,RORO,RORO,1976,1976,1981 August,5,60,60,28,28,.,NUN,1,NUN,0,0,1,1,0,0,0,,before 1992,Up until 1991,0
107,MAPP/OEA,Colombia,LAC,LAC,OAS,1,"OAS Permanent Council Res. 859 (February 6, 2004)",1,OBSR,OBSR,RORO,RORO,2004,2004,ongoing,.,.,,35,35,0,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
108,OAS Special Mission,Haiti,LAC,LAC,OAS,1,CP/RES. 806,1,OBSR,OBSR,RORO,RORO,2004,2004,2007 April,2.8,34,34,51,51,1,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
109,IFOR,Bosnia and Herzegovina,EUR,EUR,NATO,0,"UNSC Res. 1031 (December 15, 1995), Dayton Peace Agreement",1,KEEP,KEEP,UNRO,UNRO,1995,1995,1996 December,1,12,12,60000,60000,52,UN-A-7,4,UN-A-7,1,1,1,1,0,0,0,,after 1992,From 1992 onwards,1
110,SFOR,Bosnia and Herzegovina,EUR,EUR,NATO,0,"UNSC Res. 1088 (December 12, 1996), Dayton Peace Agreement",1,KEEP,KEEP,UNRO,UNRO,1996,1996,2004 December,8,96,96,36300,36300,287,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
111,KFOR,Serbia Kosovo,EUR,EUR,NATO,0,"UNSC Res. 1244 (June 10, 1999)",1,KEEP,KEEP,UNRO,UNRO,1999,1999,ongoing,.,.,,42500,42500,127,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
112,NATO Task Force Harvest (Essential Harvest),Macedonia,EUR,EUR,NATO,0,"North Atlantic Council decision (August 22, 2001)",1,KEEP,KEEP,RORO,RORO,2001,2001,2001 September,0.1,1,1,4675,4675,1,NUN,1,NUN,0,0,1,1,1,1,1,https://www.nato.int/fyrom/tfh/home.htm,after 1992,From 1992 onwards,1
113,TFF (Amber Fox),Macedonia,EUR,EUR,NATO,0,"UNSC Res. 1371 (September 26, 2001)",1,KEEP,KEEP,RORO,RORO,2001,2001,2002 December,1.3,15,15,1011,1011,1,UN-E,5,UN-E,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
114,NATO-PKM (Allied Harmony),Macedonia,EUR,EUR,NATO,0,"UNSC Res. 1371 (September 26, 2001)",1,KEEP,KEEP,RORO,RORO,2002,2002,2003 March,0.3,3,3,450,450,2,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
115,International Security Assistance Force (ISAF),Afghanistan,CSA,CSA,ADHOCOA,0,"UNSC Res. 1386 (December 20, 2001)",1,KEEP,KEEP,UNIS,UNIS,2003,2003,2014 December,.,.,,57004,57004,3471,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,Mays 2011,after 1992,From 1992 onwards,1
116,NTM-I,Iraq,MENA,MENA,NATO,0,"UNSC Res. 1546 (June 8, 2004)",1,OTHER,OTHER,UNRO,UNRO,2004,2004,2011 December,4.2,50,50,200,200,.,UN-A-7,4,UN-A-7,1,1,1,1,0,0,1, http://www.shape.nato.int/page136952,after 1992,From 1992 onwards,1
117,Operation Ocean Shield,Red Sea Golf of Aden Indian Ocean,MENA,MENA,NATO,1,"UNSC Res. 1846 (December 2, 2008)",1,KEEP,KEEP,UNRO,UNRO,2009,2009,2016 December,.,.,,400,400,.,UN-A-7,4,UN-A-7,1,1,0,0,0,0,0,,after 1992,From 1992 onwards,1
118,Operation Unified Protector,Libyen,MENA,MENA,NATO,0,"UNSC Res. 1970 (February 26, 2011); UNSC Res. 1973 (March 17, 2011)",0,ENFO,ENFO,UNRO,UNRO,2011,2011,2011 October,0.6,7,7,8000,8000,.,UN-A-7,4,UN-A-7,1,1,0,0,0,0,0,,after 1992,From 1992 onwards,1
119,Pensinsula Shield Force Bahrain,Bahrain,MENA,MENA,GCC,1,"GCC Foreign Ministers Meeting, 35th meeting",1,KEEP,KEEP,RORO,RORO,2011,2011,2011 July,0.3,4,4,1500,1500,.,NUN,1,NUN,0,0,0,0,0,0,0,https://www.alarabiya.net/articles/2011/03/14/141445.html; http://ncusar.org/blog/2014/12/gcc-joint-military-command/,after 1992,From 1992 onwards,1
120,ECMM / EUMM,Western Balkans,EUR,EUR,EU,0,"EU Council Joint Action 2000/811/CFSP (December 22, 2000)",1,OTHER,OTHER,RORO,RORO,1991,1991,ongoing,.,.,,490,490,11,NUN,1,NUN,0,0,1,1,0,0,1,,before 1992,Up until 1991,0
121,EUPOL,Macedonia,EUR,EUR,EU,0,"UNSC Res. 1371 (September 26, 2001); EU Council Joint Action 2003/681/CFSP (September 29, 2003)",1,OTHER,OTHER,RORO,RORO,2003,2005,2005 December,2,24,24,184,184,0,UN-E,5,UN-E,0,0,0,0,1,1,1,,after 1992,From 1992 onwards,1
122,EUPM,Bosnia and Herzegovina,EUR,EUR,EU,0,"UNSC Res. 1396 (March 5, 2002); EU Council Joint Action 2002/210/CFSP (March 11, 2002)",1,OTHER,OTHER,RORO,RORO,2003,2003,2012 June,5,60,60,554,554,3,UN-E,5,UN-E,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
123, EUIEMF - DRC / Operation Artemis,Congo-Kinshasa Zaire DRC,SSA,SSA,EU,0,"UNSC Res. 1484 (May 30, 2003); EU Council Decision 2003/432/CFSP (June 12, 2003)",1,KEEP,KEEP,UNRO,UNRO,2003,2003,2003 September,0.3,3,3,1968,1968,0,UN-A-7,4,UN-A-7,1,1,1,1,1,1,0,,after 1992,From 1992 onwards,1
124,EUFOR-Macedonia (Concordia),Macedonia,EUR,EUR,EU,0,"UNSC Res. 1371 (September 26, 2001)",1,KEEP,KEEP,RORO,RORO,2003,2003,2003 December,0.8,9,9,150,150,0,UN-E,5,UN-E,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
125,EUFOR-ALTHEA,Bosnia and Herzegovina,EUR,EUR,EU,0,"UNSC Res. 1575 (November 22, 2004)",1,KEEP,KEEP,UNRO,UNRO,2004,2004,ongoing,.,.,,6610,6610,17,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
126,EUJUST Lex,Iraq,MENA,MENA,EU,0,"EU Council Joint Action 2005/190/CFSP (March 7, 2005)",1,OTHER,OTHER,RORO,RORO,2004,2004,2013 December,8.3,101,101,26,26,0,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
127,AMIS II Darfur,Sudan (Darfur),SSA,SSA,AU,0,"UNSC Res. 1556 (July 30, 2004); UNSC Res. 1564 (September 18, 2004); AU Peace & Security Council decision (October 20, 2004)",1,KEEP,KEEP,RORO,RORO,2004,2004,2007 December,3.9,47,47,40,40,0,UN-E,5,UN-E,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
128,EUBAM,Moldova Ukraine,EURA,EURA,EU,0,"EU Council Joint Action 2005/776/CFSP (November 7, 2005)",1,OTHER,OTHER,RORO,RORO,2005,2005,ongoing,.,.,,103,103,0,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
129,EUPAT,Macedonia,EUR,EUR,EU,0,"UNSC Res. 1371 (September 26, 2001); EU Council Joint Action 2005/826/CFSP (November 24, 2005)",1,OTHER,OTHER,RORO,RORO,2005,2005,2006 December,1.5,18,18,32,32,0,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
130,EUSEC,Congo-Kinshasa Zaire DRC,SSA,SSA,EU,0,"EU Council Joint Action 2005/355/CFSP (May 2, 2005)",1,OTHER,OTHER,UNRO,UNRO,2005,2005,2014 September,9.3,112,112,46,46,1,UN-A-7,4,UN-A-7,1,1,1,1,0,0,1,,after 1992,From 1992 onwards,1
131,EUPOL Kinshasa,Congo-Kinshasa/Zaire/DRC,SSA,SSA,EU,0,"EU Council Join Action 2004/847/CFSP (December 9, 2004); UNSC Res. 1493 (July 28, 2003)",1,OTHER,OTHER,UNRO,UNRO,2005,2005,2007 June,2.3,27,27,54,54,0,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
132,AMM EU BAM,Indonesia (Aceh),SEA,SEA,EU,0,"EU Council Joint Action 2005/643/CFSP (September 9, 2005)",1,OBSR,OBSR,RORO,RORO,2005,2005,2006 December,1.3,15,15,216,216,1,NUN,1,NUN,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
133,EUSR BST,Georgia,EURA,EURA,EU,0,"EU Council Joint Action 2003/496/CFSP (July 7, 2003)",1,OTHER,OTHER,RORO,RORO,2005,2005,2008 September,3,36,36,20,20,0,NUN,1,NUN,0,0,1,1,0,0,0,,after 1992,From 1992 onwards,1
134,EUFOR RD Congo,Congo-Kinshasa Zaire DRC,SSA,SSA,EU,0,"UNSC Res. 1484 (May 30, 2003); UNSC Res. 1671 (April 25, 2006)",1,KEEP,KEEP,UNRO,UNRO,2006,2006,2006. November,0.6,7,7,2275,2275,0,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
135,EUPT,Serbia Kosovo,EUR,EUR,EU,0,"EU Council Joint Action 2006/304/CFSP (Aprial 10, 2006)",1,OTHER,OTHER,RORO,RORO,2006,2006,2009,.,.,,35,35,0,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
136,EUROPOL DR Congo,Congo-Kinshasa Zaire DRC,SSA,SSA,EU,0,"UNSC Res. 1756 (May 15, 2007); EU Council Joint Action 2007/405/CFSP (June 12, 2007)",1,OTHER,OTHER,RORO,RORO,2007,2007,2014 September,7.3,16,16,38,38,0,UN-E,5,UN-E,1,1,0,0,1,1,0,UNSC Resolution 1756 mentions Chapter VII for MONUC,after 1992,From 1992 onwards,1
137,EUROPOL Afghanistan,Afghanistan,CSA,CSA,EU,0,"1746; EU Council Joint Action 2007/369/CFSP (May 30, 2007)",1,OTHER,OTHER,RORO,RORO,2007,2016,2016 December,1.3,16,16,185,185,0,UN-E,5,UN-E,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
138,EULEX Kosovo,Serbia Kosovo,EUR,EUR,EU,0,"UNSC Res. 1244 (June 10, 1999); EU Council Joint Action 2008/124/CFSP (February 4, 2008)",1,OTHER,OTHER,RORO,RORO,2008,2008,ongoing,.,.,,1900,1900,0,NUN,1,NUN,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
139,EUFOR Chad,Chad,SSA,SSA,EU,0,"UNSC Res. 1778 (September 25, 2007); ACTS Council Decision 2008/101/CFSP (January 28, 2008)",1,KEEP,KEEP,UNRO,UNRO,2008,2008,2009 March,1.2,14,14,3500,3500,1,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
140,EU SRR Guinea-Bissau,Guinea Bissau,SSA,SSA,EU,0,"ACTS Council Joint Action 2008/112/CFSP (February 12, 2008)",1,OTHER,OTHER,RORO,RORO,2008,2008,2010 September,1.6,19,19,21,21,0,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
141,EUTM / Somalia,Uganda Somalia,SSA,SSA,EU,1,"UNSC Res. 1872 (May 26, 2009); EU Council Decision 2010/967CFSP (February 15, 2010)",1,OTHER,OTHER,RORO,RORO,2010,2010,ongoing,.,.,,141,141,0,NUN,1,NUN,0,0,0,0,0,0,1,,after 1992,From 1992 onwards,1
142,ECOMOG-Liberia,Liberia,SSA,SSA,ECOWAS,1,"ECOWAS Decision A/Dec.1/8/90 (August 7, 1990)",1,KEEP,KEEP,RORO,RORO,1990,1990,1999 October,9.2,110,110,12040,12040,.,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
143,ECOMOG-Sierra Leone,Sierra Leone,SSA,SSA,ECOWAS,1,"UNSC Res. 1132 (October 8, 1997), Abidjan Peace Agreement",,KEEP,KEEP,RORO,RORO,1997,1997,2000 May,2.6,31,31,14000,14000,.,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
144,ECOMOG-Guniea-Bissau,Guinea Bissau,SSA,SSA,ECOWAS,1,"UNSC Res. 1216 (December 21, 1998), Ceasefire Agreement",1,KEEP,KEEP,RORO,RORO,1998,1998,1999 June,0.5,6,6,2400,2400,.,UN-E,5,UN-E,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
145,ECOMIL,Liberia,SSA,SSA,ECOWAS,1,"UNSC Res. 1497 (August 1, 2003), UNSC Res. 1509 ",,KEEP,KEEP,UNRO,UNRO,2003,2003,2003 September,0.1,1,1,3820,3820,4,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
146,ECOMICI,Cote d'Ivoire,SSA,SSA,ECOWAS,1,"UNSC Res. 1464 (February 4, 2003)",1,KEEP,KEEP,UNRO,UNRO,2003,2003,2004 April,1.2,14,14,1510,1510,4,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
147,ECOMIB,Guinea Bissau,SSA,SSA,ECOWAS,1,"ECOWAS Roadmap on Defence and Security Sector Reform (November 7, 2012)",1,KEEP,KEEP,RORO,RORO,2012,2012,2017 June,5.3,63,63,600,600,.,NUN,1,NUN,1,1,0,0,1,1,1,,after 1992,From 1992 onwards,1
