caseid,acronym,country,region,region_n,agent,inarea,mndt,hcons,inttype,inttype_n2,intcat,intcat_n,yearbeg,yearbeg_n,yearend,durays,duram,duram_n,person,person_n,fatal,status,status_n2,status_n,ch7,ch7_n,srcadis,srcadis_n,srctpi,srctpi_n,srcsipr_n,srcoth,bef1992,bef1991,bef1992a
148,AFISMA,Mali,SSA,SSA,ECOWAS,1,"UNSC Res. 2085 (December 20, 2012); AU PSC (October 24, 2012)",1,KEEP,KEEP,UNRO,UNRO,2013,2013,2013 July,0.7,8,8,3300,3300,.,UN-A-7,4,UN-A-7,1,1,0,0,1,1,0,,after 1992,From 1992 onwards,1
149,CMF-Zimbabwe,Zimbabwe,SSA,SSA,COMWN,1,.,1,KEEP,KEEP,RORO,RORO,1979,1979,1980 March,0.3,3,3,1548,1548,.,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
150,CPDTF,Sierra Leone,SSA,SSA,COMWN,1,.,1,OTHER,OTHER,RORO,RORO,1997,1997,2000 October,3,36,36,7,7,0,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
151,CMPPMG,Solomon Islands,PAC,PAC,COMWN,1,. ,1,OTHER,OTHER,RORO,RORO,1999,1999,2000 January,0.3,3,3,.,,.,NUN,1,NUN,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
152,CMPAG,Solomon Islands,PAC,PAC,COMWN,1,.,1,OTHER,OTHER,RORO,RORO,2000,2000,2000 June,0.3,4,4,24,24,.,NUN,1,NUN,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
153,Joint Control Commission PKM,Moldova (Transdniestr),EURA,EURA,CIS,1,.,1,KEEP,KEEP,RORO,RORO,1992,1992,ongoing,.,.,,.,,32,NUN,1,NUN,0,0,1,1,1,1,1,,before 1992,From 1992 onwards,0
154,JPKF-South Ossetia,Georgia (South Ossetia),EURA,EURA,CIS,1,.,1,KEEP,KEEP,RORO,RORO,1992,1992,2009 June,16.3,195,195,1500,1500,19,NUN,1,NUN,0,0,1,1,1,1,1,,before 1992,From 1992 onwards,0
155,CPKF/CIS Tajikistan Buffer Force,Tajikistan,EURA,EURA,CIS,1,.,1,KEEP,KEEP,RORO,RORO,1993,1993,2000 September,7.5,90,90,25000,25000,.,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
156,Russian Abkhazia Peacekeeping Force,Georgia (Abkhazia),EURA,EURA,CIS,1,"Moscow Cease-fire and Separation of Forces Agreement (May 14, 1994) (S/1994/583); UNSC Res. 937 (July 21, 1994)",1,KEEP,KEEP,RORO,RORO,1993,1993,1994 June,0.6,7,7,.,,.,UN-E,5,UN-E,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
157,CPKF / CPFOR,Georgia (Abkhazia),EURA,EURA,CIS,1,"UNSC Res. 937 (July 21, 1994)",1,KEEP,KEEP,RORO,RORO,1993,1993,2008 October,14.8,179,179,2542,2542,125,UN-E,5,UN-E,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
158,FOMUC,Central African Republic,SSA,SSA,CEMAC,1,.,1,KEEP,KEEP,RORO,RORO,2003,2003,2008 July,5.5,66,66,380,380,8,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
159,MICOPAX,Central African Republic,SSA,SSA,ECCAS,1,.,1,KEEP,KEEP,RORO,RORO,2008,2008,2013 Deceember,5.4,65,65,500,500,0,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
160,UNAMID,Sudan (Darfur),SSA,SSA,UNHYBRID,1,"UNSC Res. 1769 (July 31, 2007)",,KEEP,KEEP,UNRO,UNRO,2007,2007,ongoing,.,.,,9080,9080,.,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
161,AMIB,Burundi,SSA,SSA,AU,1,"African Union decision (April 2, 2003); Arusha Peace and Reconciliation Agreements",1,KEEP,KEEP,RORO,RORO,2003,2003,2004 May,1.1,13,13,3378,3378,1,UN-E,5,UN-E,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
162,OMIC IV,Comoros,SSA,SSA,AU,1,.,1,OBSR,OBSR,RORO,RORO,2004,2004,2004 May,0.3,4,4,41,41,0,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
163,AMIS I,Sudan,SSA,SSA,AU,1,"UNSC Res. 1556 (July 30, 2004)",1,OBSR,OBSR,RORO,RORO,2004,2004,2007 December,3.5,42,42,7990,7990,60,UN-E,5,UN-E,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
164,AMISEC,Comoros,SSA,SSA,AU,1,.,1,OTHER,OTHER,RORO,RORO,2006,2006,2006 June,0.3,3,3,462,462,0,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
165,AMISOM,Somalia,SSA,SSA,AU,1,"UNSC Res. 1863 (January 16, 2009), UNSC Res. 1744 (February 20, 2007)",1,KEEP,KEEP,UNRO,UNRO,2007,2007,ongoing,.,.,,2650,2650,7,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
166,MAES I-II,Comoros,SSA,SSA,AU,1,"AU Peace & Security Council communique (May 9, 2007)",1,OTHER,OTHER,RORO,RORO,2007,2007,2008 October,1.4,17,17,200,200,0,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
167,Arab League Military Observers,North Yemen,MENA,MENA,LAS,1,.,,KEEP,KEEP,RORO,RORO,1972,1972,1972 November,0.1,1,1,.,,.,NUN,1,NUN,0,0,1,1,1,1,0,(Koops et al. 2015: 32) (Yearbook of the United Nations 1998: 320),before 1992,Up until 1991,0
168,Arab Deterrent Force,Lebanon,MENA,MENA,LAS,1,"Riyadh Resolution, League of Arab States (October 1976)",1,KEEP,KEEP,RORO,RORO,1976,1976,1982 July,5.8,69,69,30000,30000,.,NUN,1,NUN,0,0,1,1,1,1,0, http://www.uia.org/s/or/en/1100003529; (Mays 2011: 53),before 1992,Up until 1991,0
169,MNF I,Lebanon,MENA,MENA,ADHOCOA,0,.,1,KEEP,KEEP,ISIS,ISIS,1982,1982,1982 September,0.1,1,1,2285,2285,.,NUN,1,NUN,0,0,1,1,1,1,0,(Pogany 1987: 71),before 1992,Up until 1991,0
170,Neutral Nations Supervisory Commission,North Korea South Korea,CSA,CSA,ADHOCOA,0,"UNSC Res. 82 (June 27, 1950); Armistice Agreement (July 27, 1953)",1,OBSR,OBSR,ISIS,ISIS,1953,1953,ongoing,.,.,,56,56,0,UN-E,5,UN-E,0,0,1,1,0,0,1,,before 1992,Up until 1991,0
171,ICSC-Laos I,North Vietnam Laos,SEA,SEA,ADHOCOA,0,"Geneva Agreement on the Cessation of Hostilities in Viet-Nam (July 20-21, 1954)",1,OBSR,OBSR,ISIS,ISIS,1954,1954,1958 July,3.9,47,47,96,96,.,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
172,ICCS-Cambodia,North Vietnam Cambodia,SEA,SEA,ADHOCOA,0,"Geneva Agreement on the Cessation of Hostilities in Viet-Nam (July 20-21, 1954)",1,OBSR,OBSR,ISIS,ISIS,1954,1954,1970 January,15.4,185,185,96,96,.,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
173,ICSC Vietnam,Vietnam,SEA,SEA,ADHOCOA,0,"Geneva Agreement on the Cessation of Hostilities in Viet-Nam (July 20-21, 1954)",1,OBSR,OBSR,ISIS,ISIS,1954,1954,1973 January,18.4,221,221,1300,1300,3,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
174,ICSC-Laos II,North Vietnam Laos,SEA,SEA,ADHOCOA,0,"Geneva Agreement on the Cessation of Hostilities in Viet-Nam (July 20-21, 1954)",1,OBSR,OBSR,ISIS,ISIS,1962,1962,1975 December,13.6,163,163,.,,.,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
175,Joint Truce Force Cyprus,Cyprus,EUR,EUR,ADHOCIS,0,"Guarantor Powers Agreement (Great Britan, Greece, Turkey) (December 25, 1963)",1,KEEP,KEEP,ISIS,ISIS,1963,1963,1964 March,0.3,3,3,7800,7800,.,NUN,1,NUN,0,0,1,1,1,1,0, (Koop et al 2015),before 1992,Up until 1991,0
176,ACOM,Jordan,MENA,MENA,ADHOCOA,1,"Jordan-PLO Ceasefire Agreement (September 27, 1970)",1,OBSR,OBSR,ISIS,ISIS,1970,1970,1970 September,0.1,1,1,3,3,.,NUN,1,NUN,0,0,1,1,0,0,0,news.bbc.co.uk/onthisday/hi/dates/stories/september/27/newsid_4579000/4579685.stm,before 1992,Up until 1991,0
177,Somali Military Observer Team,Uganda Tanzania,SSA,SSA,ADHOCOA,1,.,1,KEEP,KEEP,ISIS,ISIS,1972,1972,1972 November,0.1,1,1,.,,.,NUN,1,NUN,0,0,1,1,0,0,0,,before 1992,Up until 1991,0
178,ICCS,North Vietnam South Vietnam,SEA,SEA,ADHOCOA,0,"Geneva Agreement on the Cessation of Hostilities in Viet-Nam (July 20-21, 1954)",1,OBSR,OBSR,ISIS,ISIS,1973,1973,1974 May,1.3,16,16,1160,1160,4,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
179,Benin Observer Commission,Mali Burkina Faso,SSA,SSA,ADHOCOA,1,.,,KEEP,KEEP,ISIS,ISIS,1986,1986,1986 January,.,0,0,.,,.,NUN,1,NUN,0,0,1,1,0,0,0,,before 1992,Up until 1991,0
180,UNITAF,Somalia,SSA,SSA,ADHOCOA,0,"UNSC Res. 794 (December 3, 1992)",,ENFO,ENFO,UNIS,UNIS,1992,1992,1993 May,0.4,5,5,37000,37000,.,UN-A-7,4,UN-A-7,1,1,1,1,1,1,0,,before 1992,From 1992 onwards,0
181,Operation Turquoise,Rwanda,SSA,SSA,ADHOCOA,0,"UNSC Res. 929 (June 22, 1994)",0,KEEP,KEEP,ISIS,ISIS,1994,1994,1994 August,0.2,2,2,2500,2500,.,UN-E,5,UN-E,1,1,1,1,1,1,0,(Mays 2011: 382),after 1992,From 1992 onwards,1
182,MOMEP,Peru Ecuador,LAC,LAC,ADHOCOA,1,"Declaration of Itamaraty (February 17, 1995)",1,OBSR,OBSR,ISIS,ISIS,1995,1995,1999 June,4.3,51,51,100,100,.,NUN,1,NUN,0,0,1,1,0,0,0,https://www.hsdl.org/?view&did=445391,after 1992,From 1992 onwards,1
183,Alba,Albania,EUR,EUR,ADHOCOA,0,"UNSC Res. 1101 (March 28, 1997)",1,KEEP,KEEP,UNIS,UNIS,1997,1997,1997 August,0.3,4,4,6000,6000,.,UN-A-7,4,UN-A-7,1,1,1,1,1,1,0,,after 1992,From 1992 onwards,1
184,TMG,Papua New Guinea (Bougainville),PAC,PAC,ADHOCOA,1,"Lincoln Agreement; UNSC Statement S/PRST/1998/10 (April 22, 1998)",1,OBSR,OBSR,ISIS,ISIS,1997,1997,1998 April,0.3,4,4,328,328,0,NUN,1,NUN,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
185,MISAB Operation,Central African Republic,SSA,SSA,ADHOCOA,1,"Bangui Peace Agreement (January 25, 1997), UNSC Res. 1125 (August 6, 1997)",1,KEEP,KEEP,UNIS,UNIS,1997,1997,1998 April,1.2,14,14,1100,1100,.,UN-A-7,4,UN-A-7,1,1,1,1,1,1,0,,after 1992,From 1992 onwards,1
186,TIPH,Israel (Hebron),MENA,MENA,ADHOCOA,0,"UNSC Res. 904 (March 18, 1994); Declaration of Principles (S/26560)",1,OBSR,OBSR,ISIS,ISIS,1994,1994,1994 August,11.7,140,140,91,91,2,UN-E,5,UN-E,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
187,PMG,Papua New Guinea (Bougainville),PAC,PAC,ADHOCOA,1,"Lincoln Agreement; UNSC Statement S/PRST/1998/10 (April 22, 1998)",1,OBSR,OBSR,ISIS,ISIS,1998,1998,2003 June,5.1,61,61,301,301,1,UN-E,5,UN-E,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
188,SADC Lesotho (Boleas),Lesotho,SSA,SSA,SADC,1,.,1,KEEP,KEEP,RORO,RORO,1998,1998,1999 March,0.5,6,6,3500,3500,.,NUN,1,NUN,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
189,INTERFET,East Timor,SEA,SEA,ADHOCOA,1,"UNSC Res. 1264 (September 15, 1999)",1,KEEP,KEEP,UNIS,UNIS,1999,1999,2000 February,0.4,5,5,12600,12600,3,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
190,IPMT,Solomon Islands,PAC,PAC,ADHOCOA,1,"Townsville Peace Agreement (October 15, 2000), UNSC S/2000/1088 (November 10, 2000)",1,OBSR,OBSR,ISIS,ISIS,2000,2000,2002 June,1.6,19,19,65,65,.,NUN,1,NUN,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
191,ISAF,Afghanistan,CSA,CSA,ADHOCOA,0,"UNSC Res. 1386 (December 20, 2001)",1,KEEP,KEEP,UNIS,UNIS,2001,2001,2003 August,1.7,20,20,4988,4988,.,UN-A-7,4,UN-A-7,1,1,1,1,0,0,1,,after 1992,From 1992 onwards,1
192,SAPSD,Burundi,SSA,SSA,ADHOCIS,1,"UNSC Res. 1375 (October 29, 2001), Arusha Peace and Reconciliation Agreement",1,KEEP,KEEP,RORO,RORO,2001,2001,2003 May,1.5,18,18,750,750,8,UN-E,5,UN-E,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
193,JMM/JMC Operation,Sudan,SSA,SSA,ADHOCOA,0,"Nuba Mountains Cease Fire Agreement on Sudan  (January 19, 2002)",1,OBSR,OBSR,ISIS,ISIS,2002,2002,2005 March,2.9,35,35,.,,.,NUN,1,NUN,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
194,SLMM,Sri Lanka,CSA,CSA,ADHOCOA,0,Peace Agreement Sri Lanka/Tamil Tigers (February 2002),1,OBSR,OBSR,ISIS,ISIS,2002,2002,2008 February,5.8,69,69,60,60,0,NUN,1,NUN,0,0,1,1,1,1,1,(Mays 2011: 247),after 1992,From 1992 onwards,1
195,MFO,Egypt Israel,MENA,MENA,ADHOCOA,0,1979 Treaty of Peace Egypt-Israel (Annex I),1,KEEP,KEEP,ISIS,ISIS,1982,1982,2008 September,26.4,317,317,2600,2600,60,NUN,1,NUN,0,0,1,1,0,0,1,http://mfo.org/en/about-us,before 1992,Up until 1991,0
196,MNF II,Lebanon (addressed interstate conflicts between Syria and Israel),MENA,MENA,ADHOCOA,0,.,1,KEEP,KEEP,ISIS,ISIS,1982,1982,1984 March,1.5,18,18,5600,5600,.,NUN,1,NUN,0,0,1,1,1,1,0,(Pogany 1987: 71),before 1992,Up until 1991,0
197,French PKM in Ivory Coast (Licorne),Cote d'Ivoire,SSA,SSA,ADHOCIS,0,"UNSC Res. 1464 (February 4, 2003)",,KEEP,KEEP,UNIS,UNIS,2002,2002,2014 July,11.8,130,130,5300,5300,24,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
198,RAMSI,Solomon Islands,PAC,PAC,ADHOCOA,1,Peace Process Guadalcanal,1,KEEP,KEEP,ISIS,ISIS,2003,2003,2013 July,10,120,120,2300,2300,.,NUN,1,NUN,0,0,1,1,1,1,1,(Mays 2011: 225),after 1992,From 1992 onwards,1
199,MNF-Iraq,Iraq,MENA,MENA,ADHOCOA,0,"UNSC Res. 1511 (October 16, 2003), 1546",,KEEP,KEEP,UNIS,UNIS,2003,2003,2009 December,5.5,66,66,184051,184051,3906,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
200,MIF-H,Haiti,LAC,LAC,ADHOCOA,0,"UNSC Res. 1529 (February 29, 2004)",1,KEEP,KEEP,UNIS,UNIS,2004,2004,2004 June,0.3,4,4,3340,3340,1,UN-A-7,4,UN-A-7,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
201,ISF-East Timor (Operation Astute),East Timor,SEA,SEA,ADHOCOA,1,"UNSC Res. 1690 (June 20, 2006); UNSC Res. 1704",1,KEEP,KEEP,ISIS,ISIS,2006,2006,2012 November,6.5,78,78,950,950,1,UN-E,5,UN-E,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
202,Operation Allied Force,Serbia Kosovo,EUR,EUR,NATO,0,,0,ENFO,ENFO,RORO,RORO,1999,1999,1999 June,0.3,4,4,38000,38000,0,NUN,1,NUN,0,0,0,0,0,0,0,,after 1992,From 1992 onwards,1
203,NATO-Kosovo Air Verfication Mission (Eagle Eye),Serbia Kosovo,EUR,EUR,NATO,0,"UNSC Res. 1203 (October 24, 1998), S/1998/991, annex",1,KEEP,KEEP,UNRO,UNRO,1998,1998,1999 March,0.5,6,6,1,1,1,UN-A-7,4,UN-A-7,1,1,0,0,1,1,0,,after 1992,From 1992 onwards,1
204,MISCA,Central African Republic,SSA,SSA,AU,1,"UNSC Res. 2127 (December 5, 2013)",1,KEEP,KEEP,UNRO,UNRO,2013,2013,ongoing,.,,,12500,12500,.,UN-A-7,4,UN-A-7,1,1,1,1,0,0,0,,after 1992,From 1992 onwards,1
205,OSCE Presence in Albania,Albania,EUR,EUR,OSCE,1,"OSCE PC.Dec/588 (December 18, 2003)",1,OTHER,OTHER,RORO,RORO,1997,1997,ongoing,.,.,,40,40,1,NUN,1,NUN,0,0,0,0,1,1,1,http://www.osce.org/pc/20402?download=true,after 1992,From 1992 onwards,1
206,CPMT SUDAN,Sudan,SSA,SSA,ADHOCIS,0,.,1,OTHER,OTHER,ISIS,ISIS,2002,2002,2005 June,2.8,33,33,50,50,1,NUN,1,NUN,0,0,0,0,1,1,0,,after 1992,From 1992 onwards,1
207,IPKF Sri Lanka,Sri Lanka,CSA,CSA,ADHOCOA,1,.,1,KEEP,KEEP,ISIS,ISIS,1987,1987,1990 March,2.7,32,32,53000,53000,1000,NUN,1,NUN,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
208,IGASOM,Somalia,SSA,SSA,IGAD,1,"UNSC Res. 1725 (December 6, 2006)",,KEEP,KEEP,UNRO,UNRO,2006,2006,2007 January,0,0,0,0,0,0,UN-A-7,4,UN-A-7,1,1,0,0,0,0,0,,after 1992,From 1992 onwards,1
209,Nigerian PKM in Congo-Kinshasa,Congo-Kinshasa Zaire DRC,SSA,SSA,ADHOCIS,.,.,,KEEP,KEEP,ISIS,ISIS,1964,1964,1965 December 31,.,,,400,400,.,NUN,1,NUN,0,0,0,0,1,1,0,,before 1992,Up until 1991,0
210,Inter-African Force,Chad,SSA,SSA,OAU,1,OAU Decision of Assembly of States and Government (June 1981),1,KEEP,KEEP,RORO,RORO,1981,1981,1982 June,.,.,,4500,4500,.,NUN,1,NUN,0,0,0,0,1,1,0," (Mays 2011: Pos 494) Abdulqawi/Ouguergouz (2012) African Union: Legal and institutional framework, p.356",before 1992,Up until 1991,0
211,UNIFIL II,Lebanon,MENA,MENA,UN,.,"UNSC Res. 1701 (August 11, 2006)",1,KEEP,KEEP,UNUN,UNUN,2006,2006,ongoing,.,.,,13572,13572,278,UN-6,2,UN-6,0,0,0,0,0,0,1,Novosseloff 2015: 770,after 1992,From 1992 onwards,1
212,ONUCA,Central America,LAC,LAC,UN,.,"UNSC Res. 650 (March 27, 1990); Declaration of San Isidro de Coronado",1,KEEP,KEEP,UNUN,UNUN,1990,1990,1992 January,2.2,26,26,1098,1098,1,UN-6,2,UN-6,0,0,0,0,1,1,0,(Mays 2011: 92),before 1992,Up until 1991,0
213,Joint Task Force Liberia,Liberia,SSA,SSA,ADHOCIS,.,"Accra Ceasefire Agreement (June 17, 2003); UNSC Res. 1497 (August 1, 2003)",1,KEEP,KEEP,UNIS,UNIS,2003,2003,2003 Septmber,0,1,1,.,,.,UN-A-7,4,UN-A-7,1,1,0,0,1,1,0, (Mays 2011: 163),after 1992,From 1992 onwards,1
214,VMT-Sudan,Sudan,SSA,SSA,IGAD,1,Machakos Protocol (20 July 2002) ; The Cessation of Hostilities Agreement (15 October 2002),1,OBSR,OBSR,RORO,RORO,2003,2003,2005 August,2.6,31,31,.,,.,NUN,1,NUN,0,0,0,0,1,1,0,,after 1992,From 1992 onwards,1
215,IMU Sudan,Sudan,SSA,SSA,ADHOCOA,,.,1,OBSR,OBSR,ISIS,ISIS,2002,2002,2005 June,3.2,38,38,.,,.,NUN,1,NUN,0,0,0,0,1,1,0,(Mays 2011: 250),after 1992,From 1992 onwards,1
216,ECMM,Croatia,EUR,EUR,EU,0,,1,OBSR,OBSR,RORO,RORO,1991,1991,1995 March,3.7,42,42,200,200,0,NUN,1,NUN,0,0,0,0,1,1,0,(Ginsberg 2001: 76),before 1992,Up until 1991,0
217,ECMM,Slovenia,EUR,EUR,EU,0,"UNSC Res. 713 (September 25, 1991)",1,OBSR,OBSR,RORO,RORO,1991,1991,1991 October,0.3,3,3,327,327,0,NUN,1,NUN,0,0,0,0,1,1,0,,before 1992,Up until 1991,0
218,ECMM,Bosnia and Herzegovina,EUR,EUR,EU,0,,1,OTHER,OTHER,RORO,RORO,1992,1992,2007 December ,15.6,120,120,.,,.,NUN,1,NUN,0,0,0,0,1,1,0,,before 1992,From 1992 onwards,0
219,ECMM,Albania,EUR,EUR,EU,0,,1,OTHER,OTHER,RORO,RORO,1991,1991,2006 December,14,168,168,750,750,.,NUN,1,NUN,0,0,0,0,1,1,0,,before 1992,Up until 1991,0
220,OSCE BMM,Albania Kosovo,EUR,EUR,OSCE,1,"UNSC Res. 1160 (March 31, 1998); OSCE Permanent Council S/1998/246 March 11, 1998)",1,OBSR,OBSR,RORO,RORO,1998,1998,1999 March,1.7,21,21,30,30,.,UN-E,5,UN-E,1,1,0,0,1,1,0,,after 1992,From 1992 onwards,1
221,NATO AFOR (Allied Harbor),Serbia Kosovo,EUR,EUR,NATO,0,"North Atlantic Council decision (April 16, 1999)",1,OTHER,OTHER,RORO,RORO,1999,1999,1999 August,1.3,16,16,7500,7500,.,NUN,1,NUN,0,0,0,0,1,1,0,,after 1992,From 1992 onwards,1
222,Military Observation Mission,Moldova (Transdniestr),EURA,EURA,ADHOCOA,1,,1,OBSR,OBSR,ISIS,ISIS,1992,1992,1992 July,0.3,3,3,160,160,.,NUN,1,NUN,0,0,0,0,1,1,0,http://uca.edu/politicalscience/dadm-project/europerussiacentral-asia-region/moldovatrans-dniester-1990-present/,before 1992,From 1992 onwards,0
